main_activity,clustered,tilt_subsector
manufacturer/ producer,rental of lorries with hydraulic running board,Other Transport
service provider,cement mixer hire,Other Transport
service provider,tachograph assistance,Other Transport
service provider,tachographs,Other Transport
missing,national road haulage,Other Transport
subcontractor,national road haulage,Other Transport
missing,transport of dangerous goods,Other Transport
subcontractor,transport of dangerous goods,Other Transport
service provider,road haulage with full loads,Other Transport
missing,road haulage with full loads,Other Transport
service provider,business removal,Other Transport
service provider,removal packing for furniture,Other Transport
service provider,storage rentals,Other Transport
service provider,porterage services,Other Transport
service provider,tank truck cleaning,Other Transport
service provider,tank cleaning,Other Transport
service provider,truck wash,Other Transport
service provider,hot air for tanks,Other Transport
service provider,steam drying of tanks,Other Transport
service provider,cleaning of powdered commodity containers,Other Transport
service provider,degassing powdered commodity tankers,Other Transport
service provider,perishable goods transport,Other Transport
agent/ representative,perishable goods transport,Other Transport
service provider,pharmaceutical transport,Other Transport
manufacturer/ producer,pharmaceutical transport,Other Transport
service provider,biologistics,Other Transport
service provider,customs declaration,Other Transport
service provider,pharmaceutical sea freight,Other Transport
service provider,romania logistics,Other Transport
service provider,romania forwarding,Other Transport
service provider,romania general cargo,Other Transport
service provider,partial loads,Other Transport
service provider,romania consolidated cargo,Other Transport
service provider,romania lorries,Other Transport
service provider,romania ftl,Other Transport
service provider,romania ltl,Other Transport
service provider,romania project,Other Transport
service provider,e-commerce fulfilment,Other Transport
service provider,shipping logistics,Other Transport
service provider,fulfilment,Other Transport
service provider,e-commerce shipping,Other Transport
service provider,fulfilment service,Other Transport
service provider,fulfillment by amazon,Other Transport
service provider,pre fba,Other Transport
distributor,"vans, commercial",Other Transport
manufacturer/ producer,pump repairs,Fishing & Forestry
service provider,automotive sector consulting,Automotive LDV
service provider,airport limousine service,Automotive LDV
service provider,airport transport,Automotive LDV
service provider,camp site,Automotive LDV
service provider,camping cooker,Automotive LDV
service provider,acoustic ceilings,Construction Buildings
manufacturer/ producer,acoustic ceilings,Construction Buildings
service provider,architectural acoustics,Construction Buildings
manufacturer/ producer,architectural acoustics,Construction Buildings
manufacturer/ producer,printed stretch canvas wall,Construction Buildings
service provider,"tapestries, handcrafted",Construction Buildings
manufacturer/ producer,"tapestries, handcrafted",Other Industry
service provider,insulated stretch ceiling,Construction Buildings
service provider,false ceilings,Construction Buildings
manufacturer/ producer,false ceilings,Construction Buildings
service provider,pool rebuilding,Construction Buildings
missing,pool rebuilding,Construction Buildings
service provider,3d shape stretch ceiling,Construction Buildings
service provider,"ceilings, wood",Construction Buildings
missing,"ceilings, wood",Construction Buildings
multi-category,toy,Other Industry
service provider,machines for stationery,Other Industry
manufacturer/ producer,finishing publishing,Other Industry
distributor,finishing publishing,Other Industry
wholesaler,finishing publishing,Other Industry
service provider,photocopies,Other Industry
service provider,image digitisation,Other Industry
service provider,home automation solutions,Other Industry
wholesaler,amusement parks installations,Other Industry
service provider,pianos,Other Industry
distributor,pianos,Other Industry
service provider,keyboard instruments,Other Industry
distributor,keyboard instruments,Other Industry
service provider,wind instruments,Other Industry
distributor,wind instruments,Other Industry
service provider,dolls,Other Industry
service provider,writing paper,Other Industry
manufacturer/ producer,writing paper,Other Industry
distributor,writing paper,Other Industry
wholesaler,writing paper,Other Industry
missing,writing paper,Other Industry
agent/ representative,writing paper,Other Industry
retailer,writing paper,Other Industry
service provider,string instruments,Other Industry
distributor,string instruments,Other Industry
wholesaler,string instruments,Other Industry
service provider,"musical instruments, electronic",Other Industry
manufacturer/ producer,"musical instruments, electronic",Other Industry
distributor,"musical instruments, electronic",Other Industry
wholesaler,"musical instruments, electronic",Other Industry
service provider,compact discs,Other Industry
service provider,dentistry instrument,Other Industry
distributor,dentistry instrument,Iron & Steel
missing,dentistry instrument,Construction Buildings
service provider,stationery - plastic products,Other Industry
distributor,stationery - plastic products,Other Industry
agent/ representative,stationery - plastic products,Other Industry
missing,"shoes, sports",Fishing & Forestry
missing,"shoes, leisure",Fishing & Forestry
service provider,tulle,Other Industry
distributor,tulle,Other Industry
wholesaler,tulle,Other Industry
service provider,silver for jewellery,Other Metals
service provider,precious metal alloys for fine jewellery,Other Metals
service provider,precious metal alloys for fine costume,Other Metals
service provider,achat d'or,Other Metals
service provider,gold redemption,Other Metals
service provider,silversmith's,Other Metals
manufacturer/ producer,silversmith's,Other Metals
missing,silversmith's,Other Metals
service provider,precious pearls,Other Metals
missing,precious pearls,Other Metals
service provider,"platform elevators, car",Machinery & Equipment
wholesaler,"platform elevators, car",Machinery & Equipment
missing,"platform elevators, car",Machinery & Equipment
retailer,"platform elevators, car",Machinery & Equipment
service provider,goods hoists,Machinery & Equipment
missing,goods hoists,Machinery & Equipment
multi-category,goods hoists,Machinery & Equipment
retailer,goods hoists,Machinery & Equipment
service provider,blocks,Machinery & Equipment
manufacturer/ producer,blocks,Fishing & Forestry
service provider,stowage,Machinery & Equipment
missing,stowage,Machinery & Equipment
service provider,packaging for dangerous goods,Machinery & Equipment
service provider,pre-fabricated structures to rent,Machinery & Equipment
service provider,pump rental,Machinery & Equipment
service provider,overhead platform rental,Machinery & Equipment
service provider,handling of pianos,Machinery & Equipment
service provider,moving of pianos,Machinery & Equipment
service provider,exterior lifts for removals,Machinery & Equipment
distributor,exterior lifts for removals,Machinery & Equipment
distributor,lifting gear,Machinery & Equipment
manufacturer/ producer,lifting appliances,Machinery & Equipment
distributor,working lifts,Machinery & Equipment
service provider,platform stair lifts,Machinery & Equipment
manufacturer/ producer,platform stair lifts,Machinery & Equipment
distributor,platform stair lifts,Machinery & Equipment
service provider,stair lift,Machinery & Equipment
manufacturer/ producer,stair lift,Machinery & Equipment
agent/ representative,stair lift,Machinery & Equipment
service provider,elevator modernisation,Machinery & Equipment
subcontractor,elevator modernisation,Machinery & Equipment
agent/ representative,elevator modernisation,Machinery & Equipment
service provider,goods lifts,Machinery & Equipment
distributor,goods lifts,Machinery & Equipment
missing,goods lifts,Machinery & Equipment
multi-category,goods lifts,Machinery & Equipment
distributor,travelling crane,Machinery & Equipment
service provider,chains for goods hoists,Machinery & Equipment
service provider,extinguisher maintenance,Machinery & Equipment
service provider,extreme sports,Machinery & Equipment
service provider,furniture mounting services,Machinery & Equipment
service provider,mini loader hire,Machinery & Equipment
service provider,special cables,Machinery & Equipment
manufacturer/ producer,mobile crane rental,Other Industry
subcontractor,mobile crane rental,Other Transport
service provider,telescopic boom lift rental,Machinery & Equipment
manufacturer/ producer,telescopic boom lift rental,Machinery & Equipment
service provider,telescopic handler rental,Machinery & Equipment
service provider,design of lifts,Machinery & Equipment
manufacturer/ producer,design of lifts,Machinery & Equipment
wholesaler,design of lifts,Machinery & Equipment
service provider,work site lift installation,Machinery & Equipment
manufacturer/ producer,work site lift installation,Machinery & Equipment
service provider,existing lifts brought up to standard,Machinery & Equipment
service provider,heat,Machinery & Equipment
service provider,lift accessory,Machinery & Equipment
service provider,overhead self-propelled platform rental,Machinery & Equipment
service provider,disabled lift,Machinery & Equipment
missing,disabled lift,Machinery & Equipment
manufacturer/ producer,disabled lift,Machinery & Equipment
service provider,chair for the disabled,Machinery & Equipment
distributor,chair for the disabled,Machinery & Equipment
manufacturer/ producer,custom-made doors,Construction Residential
manufacturer/ producer,guard services - property surveillance,Other Transport
missing,guard services - property surveillance,Construction Residential
distributor,cnc turning,Iron & Steel
manufacturer/ producer,cnc milling centres,Iron & Steel
service provider,structures for ski-lift plants,Machinery & Equipment
service provider,elevator parts,Machinery & Equipment
service provider,lifts with automatic doors,Machinery & Equipment
service provider,installation of work site elevators,Machinery & Equipment
service provider,stair elevators,Machinery & Equipment
service provider,protective work helmets,Machinery & Equipment
service provider,handling devices,Machinery & Equipment
service provider,electric-powered lift trucks,Machinery & Equipment
manufacturer/ producer,electric-powered lift trucks,Machinery & Equipment
distributor,electric-powered lift trucks,Machinery & Equipment
wholesaler,electric-powered lift trucks,Machinery & Equipment
service provider,telescopic lift trucks,Machinery & Equipment
distributor,telescopic lift trucks,Machinery & Equipment
service provider,3d measuring machine calibration,Iron & Steel
service provider,electrical discharge machining work,Construction Buildings
service provider,toothed wheels for precision mechanics,Construction Buildings
service provider,ring gears,Construction Buildings
distributor,saddlery,Automotive HDV
service provider,"bearings, antifriction",Automotive HDV
service provider,saftey bars,Automotive HDV
service provider,technical fittings for events,Other Industry
service provider,water ozonizers,Other Industry
service provider,sump pumps,Other Industry
service provider,installation of pumps,Other Industry
service provider,video inspection of waste pipes,Other Industry
service provider,swimming pool construction,Other Industry
missing,swimming pool construction,Construction Buildings
service provider,swimming pool design,Other Industry
service provider,network design,Total Power
service provider,design of electric motors,Total Power
service provider,design of generators,Total Power
service provider,rotating electrical machine engineering,Total Power
service provider,turbine repairs,Total Power
service provider,cogeneration units,Total Power
service provider,adsorption driers,Total Power
service provider,"construction compressors, rolling",Total Power
service provider,compressed air dryers,Total Power
service provider,cooler dryer,Total Power
distributor,cooperative,Agriculture & Livestock
service provider,electrical switchgear,Machinery & Equipment
service provider,mapping,Automotive LDV
service provider,geolocalization,Automotive LDV
service provider,private lifts,Machinery & Equipment
manufacturer/ producer,private lifts,Machinery & Equipment
service provider,garage rolling shutter,Construction Residential
wholesaler,canopy,Construction Residential
missing,table arts,Construction Residential
missing,cardboard disposable articles,Other Industry
agent/ representative,cardboard disposable articles,Other Industry
distributor,pasta,Food Related Products
service provider,organic tomatoes,Food Related Products
manufacturer/ producer,organic tomatoes,Agriculture & Livestock
service provider,organic pasta,Food Related Products
manufacturer/ producer,organic pasta,Food Related Products
service provider,edible animal oils,Food Related Products
service provider,forwarding crates,Other Industry
service provider,edge-protection sections,Other Industry
manufacturer/ producer,edge-protection sections,Other Industry
service provider,protective mattress,Other Industry
service provider,composite panels,Iron & Steel
service provider,polypropylene tubes,Iron & Steel
service provider,technical drawing,Iron & Steel
service provider,quartz,Construction Buildings
subcontractor,installation of sewers,Construction Buildings
service provider,damp curing,Construction Buildings
service provider,subsoil reclamation works,Construction Buildings
service provider,electricity networks designed,Construction Buildings
wholesaler,roof for sports facility,Fishing & Forestry
service provider,laundry,Construction Buildings
missing,laundry,Other Transport
subcontractor,earthmoving work,Iron & Steel
manufacturer/ producer,stockmarket - consultancies,Iron & Steel
service provider,construction of canals,Construction Buildings
subcontractor,"drilling, concrete, reinforced",Construction Residential
manufacturer/ producer,postal services,Other Transport
distributor,postal services,Other Transport
service provider,"cements, special",Construction Buildings
distributor,"cements, special",Construction Buildings
missing,"cements, special",Construction Buildings
service provider,mettaloids,Other Industry
manufacturer/ producer,mettaloids,Food Related Products
service provider,compounds,Other Industry
manufacturer/ producer,compounds,Food Related Products
manufacturer/ producer,portals,Iron & Steel
missing,industrial design,Construction Buildings
service provider,simulation,Construction Residential
service provider,mould controlling,Construction Residential
distributor,customs services,Other Transport
service provider,container transport,Other Transport
manufacturer/ producer,container transport,Other Transport
service provider,custom operation,Other Transport
service provider,sideloader,Other Transport
service provider,trolley mounted bins,Other Transport
wholesaler,trolley mounted bins,Other Transport
manufacturer/ producer,warehouse stock-management services,Other Industry
service provider,container storage warehouse,Other Transport
service provider,warehouses for pallet storage,Other Transport
service provider,container forwarding,Other Transport
service provider,pallet forwarding,Other Transport
service provider,groupage,Other Transport
missing,groupage,Other Transport
service provider,pension insurance,Other Transport
service provider,providence insurance,Other Transport
service provider,real estate investment advice,Other Transport
manufacturer/ producer,solid masses transport,Other Industry
missing,solid masses transport,Other Transport
service provider,jib crane flatbed trucks,Other Transport
distributor,jib crane flatbed trucks,Other Transport
service provider,express forwarding,Other Transport
manufacturer/ producer,express forwarding,Other Transport
distributor,express forwarding,Other Transport
subcontractor,express forwarding,Other Transport
service provider,banking services,Other Transport
missing,banking services,Other Transport
agent/ representative,piloting,Other Transport
service provider,shareholders' investment fund management,Other Transport
service provider,vault containers,Other Transport
service provider,used containers,Other Transport
distributor,used containers,Other Transport
service provider,groupage of goods by sea,Other Transport
service provider,transport of refrigeration goods by sea,Other Transport
service provider,freezer containers,Other Transport
service provider,transporte combinado,Other Transport
service provider,mudando-t mudanzas,Other Transport
service provider,container services,Other Transport
service provider,rubble clearing,Other Transport
service provider,containers for removals,Other Transport
service provider,home removals,Other Transport
service provider,customs service,Other Transport
service provider,mortgages,Other Transport
service provider,removals with containers,Other Transport
service provider,storage shed removals,Other Transport
service provider,insurance advice,Other Transport
service provider,plastic regeneration,Other Transport
service provider,heat treatment shops,Other Transport
service provider,charging racks for hardening shops,Other Transport
service provider,spare parts for hardening furnaces,Other Transport
service provider,plasma-cut parts,Other Transport
service provider,hardening muffles,Other Transport
service provider,repairs to devices,Other Transport
service provider,disposal of harmful materials,Other Transport
manufacturer/ producer,certification,Machinery & Equipment
service provider,"reducing gears, hydraulic",Machinery & Equipment
distributor,"reducing gears, hydraulic",Machinery & Equipment
missing,"reducing gears, hydraulic",Machinery & Equipment
service provider,electrical winding,Machinery & Equipment
service provider,electric motor winding,Machinery & Equipment
missing,speed reducer,Machinery & Equipment
service provider,cfd simulation software,Machinery & Equipment
service provider,computer assisted design,Machinery & Equipment
service provider,promotional marketing,Machinery & Equipment
service provider,promotional items,Machinery & Equipment
service provider,award operations,Machinery & Equipment
service provider,rim repair,Automotive LDV
service provider,table hire for events,Other Industry
wholesaler,table hire for events,Construction Residential
service provider,office fittings to rent,Other Industry
service provider,folding wheelchair rental,Other Industry
manufacturer/ producer,paper cuttings,Other Industry
service provider,sheet offset printing,Other Industry
wholesaler,sheet offset printing,Other Industry
service provider,wood parquet,Fishing & Forestry
manufacturer/ producer,wood parquet,Fishing & Forestry
retailer,wood parquet,Fishing & Forestry
service provider,antique parquet,Fishing & Forestry
retailer,antique parquet,Other Industry
service provider,office cleaning services,Other Transport
service provider,spectacle frames made of titanium,Other Metals
service provider,laser finishing work,Other Metals
service provider,laser fine blanked parts,Other Metals
service provider,laser cutting of copper,Other Metals
service provider,scanners for photolabs,Agriculture & Livestock
service provider,professional make-up,Agriculture & Livestock
manufacturer/ producer,professional make-up,Other Metals
wholesaler,professional make-up,Agriculture & Livestock
missing,halls for conventions,Machinery & Equipment
missing,halls for seminars,Machinery & Equipment
service provider,extracts for pharmaceutical preparations,Agriculture & Livestock
service provider,screening,Agriculture & Livestock
service provider,granularity measurement,Agriculture & Livestock
agent/ representative,plastic material,Construction Buildings
multi-category,plastic material,Agriculture & Livestock
manufacturer/ producer,promotional bags,Other Industry
distributor,promotional bags,Other Industry
missing,promotional bags,Other Industry
missing,organic honey,Food Related Products
manufacturer/ producer,spanish cuisine,Food Related Products
missing,spanish cuisine,Fishing & Forestry
distributor,sustainable development,Agriculture & Livestock
distributor,polypropylene adhesive tapes,Other Industry
service provider,toll grinding,Agriculture & Livestock
service provider,contract plastic grinding,Agriculture & Livestock
service provider,comminution,Agriculture & Livestock
service provider,performance,Agriculture & Livestock
missing,performance,Machinery & Equipment
service provider,sweeteners,Agriculture & Livestock
service provider,medical massage beds,Agriculture & Livestock
service provider,application programs for public businesses,Agriculture & Livestock
service provider,pilot schools,Other Transport
missing,pilot schools,Other Transport
service provider,sky diving,Other Transport
service provider,sports car hire,Other Transport
service provider,car tracks,Other Transport
service provider,financial brokerage,Other Transport
agent/ representative,financial brokerage,Machinery & Equipment
distributor,wealth management,Other Industry
missing,risk managment,Other Industry
service provider,industrial computer engineering,Other Transport
service provider,piloting ships for takedown,Other Transport
service provider,professional training,Other Transport
service provider,legal training,Other Transport
service provider,aircraft flying lessons,Other Transport
missing,aircraft flying lessons,Other Transport
service provider,helicopter flight schools,Other Transport
service provider,airplane flight schools,Other Transport
service provider,private aircraft hire,Other Transport
service provider,aerial filming,Other Transport
service provider,drone,Other Transport
distributor,drone,Aviation
service provider,aerial images,Other Transport
distributor,mooring services,Other Transport
manufacturer/ producer,bulk bags,Other Transport
service provider,rails frames,Other Transport
service provider,sliding frames,Other Transport
service provider,flying club,Other Transport
service provider,multimodal transport,Other Transport
service provider,out of gauge cargo transportation,Other Transport
service provider,heavy loads,Other Transport
manufacturer/ producer,hazardous waste collection,Chemicals
manufacturer/ producer,metal waste reclamation,Construction Buildings
service provider,scrap metal merchants,Iron & Steel
service provider,schrott,Iron & Steel
service provider,scrap price,Iron & Steel
service provider,scrap copper,Iron & Steel
manufacturer/ producer,research & development studies agriculture sector,Agriculture & Livestock
manufacturer/ producer,research & development studies zootechnical sector,Agriculture & Livestock
service provider,tobacco,Agriculture & Livestock
agent/ representative,tobacco,Agriculture & Livestock
retailer,tobacco,Agriculture & Livestock
missing,environmental research,no_match
service provider,analysis of agricultural products,Agriculture & Livestock
missing,data analysis,Other Metals
service provider,bulldozers,Agriculture & Livestock
service provider,oily seeds,Agriculture & Livestock
manufacturer/ producer,customs clearance,Food Related Products
service provider,products for beauticians,Agriculture & Livestock
service provider,security strong boxes,Agriculture & Livestock
service provider,administrative law,Agriculture & Livestock
service provider,wood sawmill,Fishing & Forestry
service provider,blocks of ash,Fishing & Forestry
service provider,blocks of beech,Fishing & Forestry
service provider,"doubs, franche-comté sawmills",Fishing & Forestry
service provider,beech planks,Fishing & Forestry
service provider,beech square cuts,Fishing & Forestry
service provider,acacia decking,Fishing & Forestry
service provider,edged ash,Fishing & Forestry
service provider,matchboard,Fishing & Forestry
manufacturer/ producer,matchboard,Fishing & Forestry
wholesaler,matchboard,Fishing & Forestry
service provider,wooden trusses,Fishing & Forestry
service provider,exotic wood,Fishing & Forestry
missing,exotic wood,Fishing & Forestry
service provider,wooden sections,Fishing & Forestry
manufacturer/ producer,wooden sections,Fishing & Forestry
service provider,eucalyptus,Fishing & Forestry
service provider,sawn-wood,Fishing & Forestry
service provider,hatches,Fishing & Forestry
subcontractor,containerized transport,Other Transport
manufacturer/ producer,contract filling of pharmaceutical products,Food Related Products
missing,façade reconstruction,Construction Buildings
service provider,old stucco restored,Construction Buildings
service provider,passive fire prevention,Construction Buildings
service provider,fireproof treatments,Construction Buildings
service provider,fire prevention treatments,Construction Buildings
service provider,waterproofing terraces,Construction Buildings
manufacturer/ producer,waterproofing terraces,Other Transport
multi-category,waterproofing terraces,Construction Buildings
service provider,waterproofing covers,Construction Buildings
service provider,waterproofing car parks,Construction Buildings
multi-category,waterproofing car parks,Construction Buildings
service provider,waterproofing for pools,Construction Buildings
missing,heat insulation material,Construction Buildings
missing,soundproofing materials,Construction Buildings
service provider,refractory cement,Construction Buildings
wholesaler,refractory cement,Construction Buildings
service provider,masonry service,Construction Buildings
service provider,fireproof insulation,Construction Buildings
service provider,toy library,Construction Buildings
service provider,industrial waterproofing,Construction Buildings
service provider,crash-barriers,Construction Buildings
wholesaler,crash-barriers,Construction Buildings
missing,crash-barriers,Construction Buildings
service provider,concrete waterproofing product,Construction Buildings
service provider,tar spraying machines,Construction Buildings
manufacturer/ producer,tar spraying machines,Other Industry
service provider,quarry materials for construction work,Construction Buildings
service provider,"tars, petroleum",Construction Buildings
manufacturer/ producer,"tars, petroleum",Construction Buildings
service provider,contract sieving,Construction Buildings
service provider,contract synthesis,Construction Buildings
service provider,chemical process engineering,Construction Buildings
service provider,oven refractors,Construction Buildings
service provider,accounting consulting,Shipping
service provider,marine survey,Shipping
service provider,powder packaging,Food Related Products
service provider,beer additives,Food Related Products
manufacturer/ producer,beer additives,Food Related Products
missing,beer additives,Food Related Products
service provider,water vending machines,Food Related Products
distributor,water vending machines,Food Related Products
service provider,drink vending machine,Food Related Products
manufacturer/ producer,drink vending machine,Food Related Products
service provider,armagnac,Food Related Products
distributor,armagnac,Food Related Products
wholesaler,armagnac,Food Related Products
missing,armagnac,Food Related Products
retailer,armagnac,Food Related Products
service provider,armagnac producer,Food Related Products
manufacturer/ producer,armagnac producer,Food Related Products
service provider,personalised labels,Food Related Products
manufacturer/ producer,personalised labels,Food Related Products
service provider,oriental products,Food Related Products
manufacturer/ producer,marc,Food Related Products
distributor,"aperitifs, non-alcoholic",Food Related Products
wholesaler,"aperitifs, non-alcoholic",Food Related Products
missing,"aperitifs, non-alcoholic",Food Related Products
retailer,"aperitifs, non-alcoholic",Food Related Products
subcontractor,tanker transport for juice,Other Transport
service provider,flying monkeys,Food Related Products
service provider,le trou du diable,Food Related Products
service provider,dunham,Food Related Products
service provider,wine merchants,Food Related Products
missing,environmental protection,Agriculture & Livestock
service provider,photocomposition machines,Food Related Products
service provider,composition machines,Food Related Products
service provider,motor oil disposal,Food Related Products
service provider,surface mount device resistors,Food Related Products
service provider,toxicology analysis,Food Related Products
service provider,toxicologists,Food Related Products
service provider,ecotoxicologists,Food Related Products
service provider,toxicology,Food Related Products
service provider,ecotoxicology,Food Related Products
service provider,predictive (eco)toxicology - in silico,Food Related Products
service provider,regulatory affairs,Food Related Products
service provider,compliance shipping food to the usa,Food Related Products
missing,catering,Agriculture & Livestock
agent/ representative,catering,Agriculture & Livestock
service provider,home aquarium maintenance service,Food Related Products
service provider,aquarium rental,Food Related Products
service provider,social media marketing,Food Related Products
distributor,fodder,Agriculture & Livestock
service provider,analysis laboratory for cereals,Agriculture & Livestock
service provider,analysis laboratory for oil seeds,Agriculture & Livestock
service provider,wehat analysis,Agriculture & Livestock
service provider,durum wheat analysis,Agriculture & Livestock
service provider,cereal analyses,Agriculture & Livestock
manufacturer/ producer,cereal analyses,Agriculture & Livestock
service provider,oilseed sunflower analyses,Agriculture & Livestock
service provider,rapeseed analyses,Agriculture & Livestock
service provider,cofrac accreditation,Agriculture & Livestock
service provider,syndicat de paris approval,Agriculture & Livestock
service provider,fosfa approvals,Agriculture & Livestock
service provider,gafta approvals,Agriculture & Livestock
service provider,final price at destination of fruits,Agriculture & Livestock
service provider,final price at destination of vegetables,Agriculture & Livestock
service provider,information about products,Agriculture & Livestock
service provider,furnishings,Agriculture & Livestock
wholesaler,furnishings,Construction Buildings
missing,furnishings,Fishing & Forestry
service provider,safes opened,Agriculture & Livestock
service provider,locks for safes,Agriculture & Livestock
service provider,locks opened,Agriculture & Livestock
manufacturer/ producer,profiling shapers,Iron & Steel
manufacturer/ producer,profiling,Iron & Steel
subcontractor,profiling,Iron & Steel
service provider,semiautomatic coffee dispensers,Food Related Products
service provider,company catering,Food Related Products
missing,company catering,Fishing & Forestry
service provider,automatic popcorn dispensers,Food Related Products
service provider,traditional sweets,Food Related Products
service provider,summer day nurseries,Fishing & Forestry
retailer,soil drainage,Agriculture & Livestock
service provider,shower tray,Construction Residential
manufacturer/ producer,shower tray,Other Industry
wholesaler,shower tray,Construction Residential
wholesaler,headliner,Automotive LDV
missing,cabinets,Machinery & Equipment
missing,cupboards,Machinery & Equipment
missing,duck,Agriculture & Livestock
service provider,diplomatic missions,Agriculture & Livestock
service provider,consular missions,Agriculture & Livestock
service provider,pallet cages,Agriculture & Livestock
service provider,hygiene pallets,Agriculture & Livestock
service provider,rent euro pallets,Agriculture & Livestock
service provider,rent pallet cages,Agriculture & Livestock
service provider,düsseldorf pallets,Agriculture & Livestock
wholesaler,düsseldorf pallets,Other Transport
service provider,euro containers (econ),Agriculture & Livestock
service provider,e2 meat containers,Agriculture & Livestock
service provider,e-vouchers,Agriculture & Livestock
manufacturer/ producer,veterinary services,Agriculture & Livestock
wholesaler,veterinary services,Agriculture & Livestock
missing,veterinary services,Agriculture & Livestock
manufacturer/ producer,public relations agencies,Other Industry
missing,public relations agencies,Automotive HDV
subcontractor,search engines internet services,Other Transport
subcontractor,directories internet services,Other Transport
service provider,free advertising magazines,Fishing & Forestry
service provider,roman blinds,Fishing & Forestry
service provider,plants for the chemical treatment of water,Fishing & Forestry
service provider,airport building,Fishing & Forestry
service provider,electronic voting system,Construction Residential
service provider,audio system rental,Construction Residential
service provider,barco projector,Construction Residential
service provider,aluminium-magnesium,Agriculture & Livestock
wholesaler,industrial waste collection,Other Industry
manufacturer/ producer,plants for recovering metals from waste,Agriculture & Livestock
manufacturer/ producer,plants for recycling metals from waste,Agriculture & Livestock
service provider,waste to energy,Agriculture & Livestock
manufacturer/ producer,waste to energy,Other Metals
service provider,composting chain,Agriculture & Livestock
service provider,analysis laboratory,Agriculture & Livestock
manufacturer/ producer,analysis laboratory,Food Related Products
service provider,analysis waste classification,Agriculture & Livestock
service provider,liquid waste disposal,Agriculture & Livestock
service provider,reuse of wood waste,Agriculture & Livestock
manufacturer/ producer,reuse of wood waste,Construction Buildings
service provider,recovery of wood,Agriculture & Livestock
missing,recovery of wood,Agriculture & Livestock
missing,transport vehicle tow services,Other Transport
multi-category,tyre fitting,Other Transport
service provider,tir recovery,Other Transport
missing,tanker transport granular,Other Transport
missing,tanker transport dry bulk,Other Transport
distributor,language-learning holidays,Machinery & Equipment
agent/ representative,language-learning holidays,Machinery & Equipment
service provider,express services (logistics),Other Transport
service provider,freight management,Other Transport
service provider,logistics needs,Other Transport
service provider,overland transport services for goods,Other Transport
service provider,shuttle train goods freight,Other Transport
service provider,contract warehousing,Other Transport
missing,taxi,Other Transport
service provider,enterprise europe network turkey,Other Transport
service provider,limousine,Other Transport
service provider,tanker transport petroleum liquids,Other Transport
manufacturer/ producer,tanker transport petroleum liquids,Other Transport
wholesaler,tanker transport petroleum liquids,Other Transport
missing,tanker transport petroleum liquids,Other Transport
service provider,railway stations,Other Transport
distributor,debt collection,Other Transport
service provider,road transport depots,Other Transport
missing,road transport depots,Other Transport
service provider,online cab booking,Other Transport
service provider,intermodal transport,Other Transport
subcontractor,intermodal transport,Other Transport
service provider,value added logistics,Other Transport
service provider,temporary employment,Other Transport
service provider,airport services for passengers,Other Transport
service provider,mixed road-air transport,Other Transport
service provider,sea feights,Other Transport
service provider,air feights,Other Transport
service provider,road transport of goods in groupage,Other Transport
service provider,archive management,Other Transport
service provider,iso 22000 certification,Other Transport
service provider,workshop,Other Transport
service provider,containers for liquid collection,Other Transport
service provider,containers for liquid transport,Other Transport
service provider,toxic products,Other Transport
service provider,transport of materials,Other Transport
service provider,express international mail,Other Transport
distributor,express international mail,Other Transport
service provider,express freight service,Other Transport
service provider,trucks for special transport,Other Transport
missing,trucks for special transport,Other Transport
service provider,road transport management,Other Transport
service provider,land transport,Other Transport
service provider,tourist transport,Other Transport
missing,tourist transport,Other Transport
service provider,load board,Other Transport
service provider,freight exchange,Other Transport
distributor,customs commission,Other Transport
service provider,groupage of goods by road,Other Transport
distributor,groupage of goods by road,Other Transport
missing,groupage of goods by road,Other Transport
service provider,airtaxi,Other Transport
subcontractor,airtaxi,Other Transport
missing,airport service,Other Transport
retailer,airport service,Other Transport
service provider,press services,Other Transport
service provider,mixed ship-train transport,Other Transport
agent/ representative,mixed ship-train transport,Automotive LDV
service provider,transport of buses,Other Transport
missing,transport of buses,Other Transport
service provider,overland passenger transport services,Other Transport
service provider,6-passenger taxis,Other Transport
missing,6-passenger taxis,Other Transport
service provider,haulage exchange,Other Transport
service provider,load,Other Transport
manufacturer/ producer,load,Other Transport
service provider,assured shipment,Other Transport
service provider,mixed road-ship transport,Other Transport
service provider,polishes,Other Transport
service provider,exceptional freight haulage,Other Transport
subcontractor,exceptional freight haulage,Machinery & Equipment
service provider,fuel transport,Other Transport
service provider,all types of freight,Other Transport
missing,all types of freight,Other Transport
service provider,hardware maintenance,Other Transport
service provider,package dispatching,Other Transport
service provider,transport art,Other Transport
missing,transport art,Other Transport
service provider,transport antiquities,Other Transport
missing,transport antiquities,Other Transport
service provider,emergency industrial air freight england uk,Other Transport
service provider,cargo planes chartered germany,Other Transport
service provider,fast delivery of aircraft spare parts aog next flight china,Other Transport
service provider,international shipment of urgent goods europe,Other Transport
service provider,very urgent shipments america usa,Other Transport
service provider,emergency air transport india,Other Transport
service provider,extremely urgent deliveries uae dubai,Other Transport
missing,air brokers,Other Transport
service provider,transport agent,Other Transport
service provider,urgent transport,Other Transport
service provider,private passenger transfer service in paris,Other Transport
service provider,business family individual tours cdg oryl disney paris,Other Transport
service provider,european truck haulage,Other Transport
service provider,specialising automotive transport,Other Transport
